,corpus_name,committee_name,title,date,signature,inv,main_chair
0,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Polityki Mieszkaniowej,STENOGRAM z drugiego posiedzenia Podzespołu do spraw Polityki Mieszkaniowej,23 lutego 1989 r,SYGNATURA= ,INW= 46034,Aleksander Paszyński
1,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Młodzieży,STENOGRAM z trzeciego posiedzenia Podzespołu do spraw Młodzieży,6 marca 1989 r,SYGNATURA= ,INW= 46039,Przewodniczący
2,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z pierwszego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,8 lutego 1989 r,SYGNATURA= C9540/2,INW= 46015,Władysław Baka
3,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z ósmego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,20 marca 1989 r,SYGNATURA= 9540/2,INW= 46022,Władysław Baka
4,KORPUS= Obrady Okrągłego Stołu,"Podzespół do spraw Nauki, Oświaty i Postępu Technicznego","STENOGRAM z czwartego posiedzenia Podzespołu do spraw Nauki, Oświaty i Postępu Technicznego",10 marca 1989 r,SYGNATURA= ,INW= 46052,Przewodniczący
5,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z szóstego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,7 marca 1989 r,SYGNATURA= C9540/5,INW= 46086,Adam Strzembosz
6,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z ósmego posiedzenia Podzespołu do spraw Górnictwa,17 marca 1989 r,SYGNATURA= ,INW= 46066,Alojzy Pietrzyk
7,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z jedenastego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,30 marca 1989 r,SYGNATURA= 9540/2,INW= 46025,Władysław Baka
8,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Samorządu Terytorialnego [4],3 marca 1989 r,SYGNATURA= C9540/14,INW= 46045,Wojciech Sokolewicz
9,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,27 lutego 1989 r,SYGNATURA= C9540/5,INW= 46084,Łukasz Balcer
10,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Środków Masowego Przekazu,STENOGRAM z szóstego posiedzenia Podzespołu do spraw Środków Masowego Przekazu,22 marca 1989 r,SYGNATURA= C9540/11,INW= 46058,Krzysztof Kozłowski
11,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Reformy Prawa i Sądów,STENOGRAM z ósmego posiedzenia Podzespołu do spraw Reformy Prawa i Sądów,16 marca 1989 r,SYGNATURA= C9540/5,INW= 46088,Łukasz Balcer i Adam Strzembosz
12,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z piątego posiedzenia Zespołu do spraw Pluralizmu Związkowego,10 marca 1989 r,SYGNATURA= 9540/3,INW= 46009,Tadeusz Mazowiecki
13,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Samorządu Terytorialnego [2],25 lutego 1989 r,SYGNATURA= C9540/14,INW= 46043,Jerzy Regulski
14,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z piątego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,6 marca 1989 r,SYGNATURA= C9540/2,INW= 46019,Witold Trzeciakowski
15,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z piątego posiedzenia Zespołu do spraw Reform Politycznych,20 marca 1989 r,SYGNATURA= 9540/4,INW= 46000,Bronisław Geremek
16,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Gospodarki i Polityki Społecznej,STENOGRAM z czwartego posiedzenia Zespołu do spraw Gospodarki i Polityki Społecznej,27 lutego 1989 r,SYGNATURA= C9540/2,INW= 46018,Witold Trzeciakowski
17,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Zdrowia,STENOGRAM z pierwszego posiedzenia Podzespołu do spraw Zdrowia,18 lutego 1989 r,SYGNATURA= ,INW= 46028,Andrzej Wojtczak
18,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Górnictwa,STENOGRAM z czwartego posiedzenia Podzespołu do spraw Górnictwa,2 marca 1989 r,SYGNATURA= ,INW= 46062,Marian Gustek
19,KORPUS= Obrady Okrągłego Stołu,Podzespół do spraw Stowarzyszeń i Samorządu Terytorialnego,STENOGRAM z posiedzenia Grupy do spraw Stowarzyszeń [6],7 marca 1989 r,SYGNATURA= C9540/14,INW= 46047,Jan Brol
20,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Reform Politycznych,STENOGRAM z siódmego posiedzenia Zespołu do spraw Reform Politycznych,23 marca 1989 r,SYGNATURA= 9540/4,INW= 46002,Janusz Reykowski
21,KORPUS= Obrady Okrągłego Stołu,Zespół do spraw Pluralizmu Związkowego,STENOGRAM z drugiego posiedzenia Zespołu do spraw Pluralizmu Związkowego,16 lutego 1989 r,SYGNATURA= 9540/3,INW= 46006,Tadeusz Mazowiecki
